Date,Open,High,Low,Close,Volume,Adj Close
2012-01-17,28.40,28.65,28.17,28.26,72384500,28.26
2012-01-13,27.93,28.25,27.79,28.25,60196100,28.25
2012-01-12,27.87,28.02,27.65,28.00,49370800,28.00
2012-01-11,27.43,27.98,27.37,27.72,65582400,27.72
2012-01-10,27.93,28.15,27.75,27.84,60014400,27.84
2012-01-09,28.05,28.10,27.72,27.74,59706800,27.74
2012-01-06,27.53,28.19,27.53,28.11,99455500,28.11
2012-01-05,27.38,27.73,27.29,27.68,56081400,27.68
2012-01-04,26.82,27.47,26.78,27.40,80516100,27.40
2012-01-03,26.55,26.96,26.39,26.77,64731500,26.77
2011-12-30,26.00,26.12,25.91,25.96,27395700,25.96
2011-12-29,25.95,26.05,25.86,26.02,22616900,26.02
2011-12-28,26.11,26.15,25.76,25.82,29822500,25.82
2011-12-27,25.96,26.14,25.93,26.04,21287200,26.04
2011-12-23,25.91,26.04,25.73,26.03,23205800,26.03
2011-12-22,25.82,25.86,25.48,25.81,35794100,25.81
2011-12-21,26.01,26.19,25.44,25.76,64132500,25.76
2011-12-20,25.86,26.10,25.81,26.03,60767600,26.03
2011-12-19,26.02,26.12,25.46,25.53,52258300,25.53
